order,lam,flux,mask
0,6814.20246864854,1.007335,False
0,6814.22665914688,1.004309,False
0,6814.25084964521,0.9996995,False
0,6814.27504014355,0.9935714,False
0,6814.29923064189,0.9884124,False
0,6814.32342114022,0.9891639,False
0,6814.34761163856,0.9971958,False
0,6814.37180213689,1.007671,False
0,6814.39599263523,1.012392,False
0,6814.42018313357,1.010238,False
0,6814.4443736319,1.006825,False
0,6814.46856413024,1.006778,False
0,6814.49275462857,1.004309,False
0,6814.51694512691,1.000203,False
0,6814.54113562525,0.9979616,False
0,6814.56532612358,0.9992443,False
0,6814.58951662192,1.00289,False
0,6814.61370712025,1.006626,False
0,6814.63789761859,1.009156,False
0,6814.66208811693,1.010404,False
0,6814.68627861526,1.009622,False
0,6814.7104691136,1.008619,False
0,6814.73465961193,1.009083,False
0,6814.75885011027,1.010171,False
0,6814.78304060861,1.00891,False
0,6814.80723110694,1.003785,False
0,6814.83142160528,0.9984879,False
0,6814.85561210361,0.998705,False
0,6814.87980260195,0.9989647,False
0,6814.90399310029,0.9982281,False
0,6814.92818359862,0.9983119,False
0,6814.95237409696,0.9982022,False
0,6814.97656459529,0.9912772,False
0,6815.00075509363,0.9802169,False
0,6815.02494559197,0.9712076,False
0,6815.0491360903,0.9655337,False
0,6815.07332658864,0.9619391,False
0,6815.09751708697,0.9612413,False
0,6815.12170758531,0.9662458,False
0,6815.14589808365,0.9781964,False
0,6815.17008858198,0.9904278,False
0,6815.19427908032,0.9957904,False
0,6815.21846957865,0.9929565,False
0,6815.24266007699,0.9878723,False
0,6815.26685057533,0.9854008,False
0,6815.29104107366,0.9863237,False
0,6815.315231572,0.9891613,False
0,6815.33942207034,0.9932923,False
0,6815.36361256867,0.9986507,False
0,6815.38780306701,1.004505,False
0,6815.41199356534,1.007889,False
0,6815.43618406368,1.004154,False
0,6815.46037456201,0.9942433,False
0,6815.48456506035,0.9871528,False
0,6815.50875555869,0.9895751,False
0,6815.53294605702,0.9949401,False
0,6815.55713655536,1.00055,False
0,6815.5813270537,1.005491,False
0,6815.60551755203,1.0089,False
0,6815.62970805037,1.009837,False
0,6815.6538985487,1.008713,False
0,6815.67808904704,1.008065,False
0,6815.70227954538,1.009961,False
0,6815.72647004371,1.012416,False
0,6815.75066054205,1.014327,False
0,6815.77485104038,1.015425,False
0,6815.79904153872,1.015759,False
0,6815.82323203705,1.015327,False
0,6815.84742253539,1.015137,False
0,6815.87161303373,1.013813,False
0,6815.89580353206,1.008994,False
0,6815.9199940304,1.002962,False
0,6815.94418452873,0.9976363,False
0,6815.96837502707,0.9931051,False
0,6815.99256552541,0.9887949,False
0,6816.01675602374,0.9864367,False
0,6816.04094652208,0.989621,False
0,6816.06513702041,0.9964735,False
0,6816.08932751875,0.9996925,False
0,6816.11351801709,0.9974681,False
0,6816.13770851542,0.9947205,False
0,6816.16189901376,0.9971314,False
0,6816.18608951209,1.004209,False
0,6816.21028001043,1.005807,False
0,6816.23447050877,0.9997711,False
0,6816.2586610071,0.990093,False
0,6816.28285150544,0.9815493,False
0,6816.30704200378,0.9781036,False
0,6816.33123250211,0.9820758,False
0,6816.35542300045,0.9912557,False
0,6816.37961349878,0.999441,False
